,CONTENT,DATETIME,DOCID,TYPE
120,"환경연합, 거제 깃대종 수달·팔색조 공모전: 【거제=뉴시스】최운용 기자 = 경남 통영·거제환경운동연합은 오는 20일 거제시 독봉산 웰빙공원에서 지역의 대표적인 깃대종인 수달, 팔색조 공모전을 연다고 8... http://t.co/J77OAZsk",20121008083723,121,TWEET
121,"환경연합, 거제 깃대종 수달·팔색조 공모전",20121008083723,122,TWEET
122,"http://t.co/Vx6dJnYl 환경연합, 거제 깃대종 수달·팔색조 공모전 #yozm",20121009004019,123,TWEET
123,"거제환경련, 독봉산서 깃대종 공모전 개최 http://t.co/ofimXtr1",20121009143450,124,TWEET
124,독봉산 웰빙공원에서 2012 환경연합 깃대종 공모전이 열립니다http://t.co/GOdQsQKH,20121012092622,125,TWEET
125,국립공원과 함께하는 깃대종 그리고 봉사활동 - 핸드온 자원봉사를 통해 국립공원을 내손으로 아름답게! http://t.co/2SsM38ik,20121014081216,126,TWEET
126,"""녹색연합과 함께하는 대한민국 깃대종"" 4권 취재하러 북한산 진관사에 왔어요.. 곱게 물든 감나무 이파리 건너다보면서 차 한 잔 마시니, 이곳이 천상인 듯.. http://t.co/oelNlkHi",20121024132301,127,TWEET
127,[이이재]오늘은 제가 운영위원장으로 몸담았던 백두대간보전회가 주최하는 백두대간 산삼심기 행사에 참석했슴다. 산삼은 백두대간의 정기를 상징하는 식물생태계의 깃대종입니다. 산심도 심고 산행도 http://t.co/vnENUTgj,20121029093124,128,TWEET
128,5분만에 독파하는 정권파악 영상! 12월 대선 그 선택의 기준이 됩니다! 정치계 깃대종 문성근! 밝고 쉽게 보여줍니다. 온국민이 보시고 희망을 품기 바라며 http://t.co/H55IZvGE,20121111103610,129,TWEET
129,계룡산의 깃대종 호반새를 아시나요? http://t.co/iN1wuwBA,20121118111533,130,TWEET
130,내장산국립공원 깃대종을 아시나요? http://t.co/GYDkWiZO http://t.co/qssga2bI,20121121173124,131,TWEET
131,내장산국립공원 깃대종을 아시나요? (http://t.co/GYDkWiZO) http://t.co/1lGDxa2y,20121121173130,132,TWEET
132,[깃대종] 천년을 이어온 빛! 비단벌레 이야기 - 내장산국립공원의 깃대종 '비단벌레' http://t.co/CDFSHzew,20121123101205,133,TWEET
133,"[내장산국립공원의 깃대종 '비단벌레'] 각도와 양에 따라 여러가지 다양한 빛을 내는 날개를 가진 비단벌레! 옛날에는 공예품에 사용되기도 했는데 지금은 개체수가 줄어 멸종위기야생동물, 천연기념물로 지정되었습니다.ㅠㅠ http://t.co/1bXK876u",20121123113833,134,TWEET
134,## 봄의 전령사 ## 변산바람꽃이 피었네요~ 아직 활짝 피진 않았지만 봄의 기운이 느껴지시죠? ^-^ 변산바람꽃은 그 이름대로 변산반도 국립공원의 깃대종입니다! http://t.co/q0RMxQsV,20130219111210,135,TWEET
135,계룡산의 깃대종 호반새를 아시나요? http://t.co/LqsGDlOh,20130219111531,136,TWEET
136,변산바람꽃이 피었네요~ 아직 활짝 피진 않았지만 봄의 기운이 느껴지시죠? ^-^ 변산바람꽃은 그 이름대로 변산반도 국립공원의 깃대종입니다! http://t.co/OWR66D4m,20130219154232,137,TWEET
137,계룡산의 깃대종 호반새를 아시나요? http://t.co/cgL1mkFAIV,20130221111529,138,TWEET
138,"대전시, 대표 동.식물 ‘6대 깃대종’ 선정 http://t.co/b1oSXwRqFP",20130225150304,139,TWEET
139,"‘깃대종’ 도대체 뭐길레? ... 대전시, 6종 뽑는다 http://t.co/brV3chyrSx",20130225202625,140,TWEET
140,"대전 대표 동·식물 ‘6대 깃대종’ 선정 - 이츠대전tv: 여러분 안녕하십니까, 이츠대전뉴습니다.특정지역의 생태계를 대표할 수 있는 야생 동물과 식물을 ‘깃대종’이라고 부르는데요. 대전을 대표하는 ... http://t.co/l2Ra6PLEi4",20130226092953,141,TWEET
141,전주의 젖줄 삼천이 환경부 깃대종 복원시범사업에 선정돼 천연기념물 반딧불이와 수달이 서식하는 생태하천으로 탈바꿈됩니다. 전주시는 280억을 들여 원당교~전주천 합류지점간 9.8km의 생태하천복원사업을 추진합니다.http://t.co/fyvLwOiTNJ,20130307151945,142,TWEET
